exp,dataset,variant,seed,cond,metric,value
B,crisismmd,robust,1,content_sensitivity,spearman_flip,-0.054303300659894756
B,crisismmd,robust,1,content_flip_margin,auc_flip,0.9490108249346771
B,crisismmd,robust,1,content_flip_margin,spearman_flip,0.5031693141564274
B,crisismmd,robust,1,alpha,auc_flip,0.613303471444569
B,crisismmd,robust,1,alpha,spearman_flip,0.1269698342497647
B,crisismmd,robust,1,normshare,auc_flip,0.6228144830160507
B,crisismmd,robust,1,normshare,spearman_flip,0.1376280386929485
B,crisismmd,robust,1,structure_sensitivity_neg,auc_flip,0.9280477790220232
B,crisismmd,robust,1,structure_sensitivity_neg,spearman_flip,0.4796777615061448
B,crisismmd,robust,1,intervention_flip,agreement,0.90375
B,crisismmd,robust,1,intervention_flip,precision,0.6071428571428571
B,crisismmd,robust,1,intervention_flip,recall,0.5368421052631579
B,crisismmd,robust,1,all,mean_content_sensitivity,0.19279507857915676
B,crisismmd,robust,1,all,mean_structure_sensitivity,0.2540381406397668
_,crisismmd,robust,1,core|crisismmd|robust|1,_done,2.09
A,crisismmd,robust,3,nbr,n_rules,6.0
A,crisismmd,robust,3,nbr,coverage,0.9575
A,crisismmd,robust,3,nbr,fidelity,0.89375
A,crisismmd,robust,3,nbr,precision_covered,0.933420365535248
A,crisismmd,robust,3,nbr,majority,0.255
A,crisismmd,robust,3,nbr,fidelity_with_fallback,0.93125
A,crisismmd,robust,3,old,fidelity,0.28875
A,crisismmd,robust,3,old,n_rules,5.0
A,crisismmd,robust,3,curve|r1,fidelity,0.255
A,crisismmd,robust,3,curve|r1,coverage,0.29875
A,crisismmd,robust,3,curve|r2,fidelity,0.49375
A,crisismmd,robust,3,curve|r2,coverage,0.56375
A,crisismmd,robust,3,curve|r3,fidelity,0.7325
A,crisismmd,robust,3,curve|r3,coverage,0.81625
A,crisismmd,robust,3,curve|r4,fidelity,0.82875
A,crisismmd,robust,3,curve|r4,coverage,0.9025
A,crisismmd,robust,3,curve|r5,fidelity,0.8925
A,crisismmd,robust,3,curve|r5,coverage,0.95125
A,crisismmd,robust,3,curve|r6,fidelity,0.89375
A,crisismmd,robust,3,curve|r6,coverage,0.9575
A,crisismmd,robust,3,tree|L2,train,0.49125
A,crisismmd,robust,3,tree|L2,cv,0.4725
A,crisismmd,robust,3,tree|L3,train,0.72875
A,crisismmd,robust,3,tree|L3,cv,0.7262500000000001
A,crisismmd,robust,3,tree|L4,train,0.83375
A,crisismmd,robust,3,tree|L4,cv,0.8300000000000001
A,crisismmd,robust,3,tree|L6,train,0.92875
A,crisismmd,robust,3,tree|L6,cv,0.9175000000000001
A,crisismmd,robust,3,tree|L8,train,0.93375
A,crisismmd,robust,3,tree|L8,cv,0.9174999999999999
A,crisismmd,robust,3,tree|L12,train,0.95
A,crisismmd,robust,3,tree|L12,cv,0.9225
