method,dataset,seed,k_used,modularity,onmi,f1,mean_umax,frac_multi,rule_fidelity,m_used,error,secs
base:kmeans_content,fakeddit@r0.1,2,10,0.1071229880403132,0.08074720016748604,0.27483072454287527,,,,,,0.53
base:louvain,fakeddit@r0.1,2,4,0.3672037535642457,0.48508196168362705,0.8005012041161863,,,,,,0.2
specsoft|raw,fakeddit@r0.1,2,10,0.2956023257312774,0.5148889441261444,0.6198077697978459,0.9996766010422091,0.0,0.2975,,,2.09
default,fakeddit@r0.25,1,10,0.15293420507737737,0.10501871252790895,0.1390845708223233,0.10002003725653003,0.0,0.5775,1.5,,2.23
default,fakeddit@r0.25,0,10,0.1597085846240807,0.11662928474680934,0.13621999577677413,0.10002775206088718,0.0,0.57,1.5,,2.31
default,fakeddit@r0.25,2,10,0.15383360251833245,0.16861789361802804,0.1952924142640618,0.10002253084160932,0.0,0.455,1.5,,2.25
fcm+rawpca+m1.2,fakeddit@r0.25,0,10,0.12395327128025359,0.2338349478890398,0.3010628057352226,0.2562175524991888,0.22416666666666665,0.2325,1.2,,2.83
kmsoft|cca,fakeddit@r0.25,0,10,0.06624061087314259,0.07834883116204017,0.31682826574271966,0.29761563137252944,0.20583333333333334,0.14916666666666667,,,2.3
fcm+rawpca+m1.2,fakeddit@r0.25,2,10,0.13732864846670068,0.22944289609618373,0.3047441918528658,0.24945207573070524,0.21833333333333332,0.25,1.2,,2.53
fcm+rawpca+m1.2,fakeddit@r0.25,1,10,0.13109936942496497,0.23386025878227046,0.3265639657023839,0.2621218613651458,0.22916666666666666,0.22916666666666666,1.2,,2.75
kmsoft|cca,fakeddit@r0.25,1,10,0.06946583456904591,0.08771858918343534,0.3198354027614535,0.2982029925045232,0.2,0.1675,,,2.25
kmsoft|cca,fakeddit@r0.25,2,10,0.06566833940981191,0.09912615503321098,0.293571623500226,0.3039707410056801,0.20916666666666667,0.17916666666666667,,,2.19
kmsoft|raw,fakeddit@r0.25,0,10,0.11281964256577526,0.27845286389305146,0.47122807416925144,0.29914793366728226,0.24166666666666667,0.17916666666666667,,,2.53
kmsoft|raw,fakeddit@r0.25,1,10,0.1289571188162712,0.3610221159707143,0.5413522112604185,0.30471573720852574,0.24833333333333332,0.175,,,2.44
kmsoft|raw,fakeddit@r0.25,2,10,0.11010173645365338,0.267086592510013,0.4623819954833941,0.3003481218343126,0.24083333333333334,0.19583333333333333,,,2.26
gmm|cca,fakeddit@r0.25,0,10,0.05557633557246208,0.07795327122432405,0.30586116217743287,0.7517283769865274,0.33916666666666667,0.185,,,2.16
gmm|cca,fakeddit@r0.25,2,10,0.07077754706931286,0.09586617706933165,0.29770314787659263,0.7700210122421667,0.31916666666666665,0.18666666666666668,,,2.19
gmm|cca,fakeddit@r0.25,1,10,0.07164700676618636,0.08640717059965408,0.30459665950177683,0.7708687486217309,0.2975,0.21666666666666667,,,2.28
gmm|raw,fakeddit@r0.25,0,10,0.13126970318776493,0.28275537858039224,0.46511284152833793,0.8537120717906974,0.23416666666666666,0.18416666666666667,,,2.45
gmm|raw,fakeddit@r0.25,1,10,0.1463540479578158,0.36656770087213486,0.533363672987902,0.893963083732488,0.16083333333333333,0.28583333333333333,,,2.41
gmm|raw,fakeddit@r0.25,2,10,0.09854457515914249,0.20726873144316338,0.3727291290296538,0.8558193162793389,0.23416666666666666,0.225,,,2.28
fcmad|cca,fakeddit@r0.25,0,10,0.06069157761169734,0.07111305065514406,0.30943458079738495,0.7491839423368977,0.2875,0.14833333333333334,1.1,,2.39
fcmad|cca,fakeddit@r0.25,1,10,0.05550325706380092,0.07491475571643447,0.2891245695070713,0.7477086093494694,0.285,0.16333333333333333,1.1,,2.47
fcmad|cca,fakeddit@r0.25,2,10,0.06659334958668564,0.08177920293314411,0.3058951141666018,0.7515877015320842,0.3025,0.17,1.1,,2.08
fcmad|raw,fakeddit@r0.25,1,10,0.12194148973757987,0.3533831498353035,0.5331679786544494,0.751854927304051,0.3025,0.16833333333333333,1.1,,2.47
fcmad|raw,fakeddit@r0.25,0,10,0.11277024292100218,0.25742547536830096,0.4632549363900774,0.7410647274169465,0.3308333333333333,0.18666666666666668,1.1,,2.69
