group,dataset,seed,method,x,k_used,onmi,modularity,f1,auroc_agree,auroc_conf,error,secs
sweep,fakeddit,0,nfmcd_default,0.25,10,0.11662928474680934,0.1597085846240807,0.13621999577677413,nan,nan,,2.28
sweep,fakeddit,2,nfmcd_default,0.25,10,0.16861789361802804,0.15383360251833245,0.1952924142640618,nan,nan,,2.22
sweep,fakeddit,2,nfmcd_robust,0.25,10,0.18951668378516773,0.17434544858023848,0.39580501628637843,nan,nan,,0.83
sweep,fakeddit,0,nfmcd_robust,0.5,10,0.03458759894388952,0.1169235480918687,0.2723238873315182,nan,nan,,0.84
sweep,fakeddit,2,nfmcd_default,0.5,10,0.021073499831535503,0.03271982983096377,0.18902113591664088,nan,nan,,2.03
sweep,fakeddit,1,nfmcd_robust,0.5,10,0.045035243672687186,0.1168731665212066,0.2629837253782376,nan,nan,,0.83
sweep,fakeddit,1,nfmcd_default,0.5,10,0.032046072270707215,0.02716592428897992,0.21057464352683192,nan,nan,,2.23
sweep,fakeddit,0,nfmcd_default,0.5,10,0.03987877971278597,0.03738812180510845,0.23830553383857955,nan,nan,,2.31
sweep,fakeddit,2,nfmcd_robust,0.5,10,0.037272618059296936,0.1278704744441824,0.23726669055891358,nan,nan,,0.77
sweep,fakeddit,0,nfmcd_robust,1.0,10,0.027275638850973172,0.10284508341888048,0.2350913295973339,nan,nan,,0.88
sweep,fakeddit,0,nfmcd_default,1.0,10,0.01681997271593927,0.006530563349267972,0.2329386334635517,nan,nan,,2.26
sweep,fakeddit,1,nfmcd_default,1.0,10,0.034363630900981046,0.0005117083056510951,0.19806540863559477,nan,nan,,2.17
sweep,fakeddit,2,nfmcd_default,1.0,10,0.008853226538583892,-0.0011024860068179695,0.16010087642030796,nan,nan,,2.25
sweep,fakeddit,1,nfmcd_robust,1.0,10,0.023214032149093233,0.13322767438075833,0.18550171755060368,nan,nan,,0.8
sweep,fakeddit,2,nfmcd_robust,1.0,10,0.026324728774399953,0.13416373995335315,0.2030247751821197,nan,nan,,0.69
miss,crisismmd,0,nfmcd_default,0.0,7,0.590905302529789,0.5197824512523282,0.7572625076058666,nan,nan,,0.83
