exp,dataset,variant,seed,cond,metric,value
E1,crisismmd,default,4,rules,n_rules,5.0
E1,crisismmd,default,4,rules,fidelity,0.315
E1,crisismmd,default,4,rules,coverage,1.0
E1,crisismmd,default,4,rules,majority_covered,0.26125
E1,crisismmd,default,4,rules,majority_all,0.26125
E1,crisismmd,default,4,rules,lift_pts,0.05375000000000002
E1,crisismmd,default,4,tree_A_L2,fit_acc,0.32125
E1,crisismmd,default,4,tree_A_L2,cv_acc,0.30374999999999996
E1,crisismmd,default,4,tree_A_L3,fit_acc,0.32875
E1,crisismmd,default,4,tree_A_L3,cv_acc,0.31124999999999997
E1,crisismmd,default,4,tree_A_L4,fit_acc,0.32875
E1,crisismmd,default,4,tree_A_L4,cv_acc,0.29375
E1,crisismmd,default,4,tree_A_L6,fit_acc,0.33375
E1,crisismmd,default,4,tree_A_L6,cv_acc,0.29625
E1,crisismmd,default,4,tree_A_L8,fit_acc,0.35375
E1,crisismmd,default,4,tree_A_L8,cv_acc,0.30375
E1,crisismmd,default,4,tree_A_L12,fit_acc,0.36125
E1,crisismmd,default,4,tree_A_L12,cv_acc,0.31500000000000006
E1,crisismmd,default,4,tree_A_L16,fit_acc,0.37
E1,crisismmd,default,4,tree_A_L16,cv_acc,0.30375
E1,crisismmd,default,4,tree_A_L24,fit_acc,0.3875
E1,crisismmd,default,4,tree_A_L24,cv_acc,0.3037500000000001
E1,crisismmd,default,4,tree_A_L32,fit_acc,0.40875
E1,crisismmd,default,4,tree_A_L32,cv_acc,0.3075
E1,crisismmd,default,4,tree_B_L2,fit_acc,0.51875
E1,crisismmd,default,4,tree_B_L2,cv_acc,0.485
E1,crisismmd,default,4,tree_B_L3,fit_acc,0.76
E1,crisismmd,default,4,tree_B_L3,cv_acc,0.755
E1,crisismmd,default,4,tree_B_L4,fit_acc,0.96875
E1,crisismmd,default,4,tree_B_L4,cv_acc,0.9674999999999999
E1,crisismmd,default,4,tree_B_L6,fit_acc,0.97375
E1,crisismmd,default,4,tree_B_L6,cv_acc,0.96875
E1,crisismmd,default,4,tree_B_L8,fit_acc,0.9775
E1,crisismmd,default,4,tree_B_L8,cv_acc,0.9700000000000001
E1,crisismmd,default,4,tree_B_L12,fit_acc,0.98125
E1,crisismmd,default,4,tree_B_L12,cv_acc,0.9650000000000001
E1,crisismmd,default,4,tree_B_L16,fit_acc,0.98375
