dataset,seed,phase,param,cfg,m,alpha_min,alpha_max,sd_mult,common_dim,anfis,modularity,onmi,f1,error,secs
fakeddit,2,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.31953888687877774,0.37186180905122423,0.31791183822065194,,3.5
crisismmd,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.5225218086561552,0.6349559767152536,0.7412328400886002,,1.08
crisismmd,1,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.520622369685354,0.6288645965753591,0.7375278259300371,,1.36
crisismmd,2,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.44861875547567115,0.6454400206385581,0.6812248951988406,,1.36
pheme,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.8810108987717453,0.0,0.24594806153393486,,1.69
pheme,0,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.823496192850342,0.021896571694043798,0.22766565091714341,,8.53
pheme,1,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.7694183515618799,0.0,0.18322702896563434,,9.06
fakeddit,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.3111832221367108,0.38954359217073664,0.32729735507044183,,3.53
dblp,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.8278851135757042,0.5529702135395057,0.7065509004408654,,0.11
pheme,2,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.7744676525788213,0.021347016737801927,0.18810827478184067,,10.91
dblp,2,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.827936219636334,0.6149038190959741,0.7144154758937545,,0.08
dblp,1,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.8147450395751741,0.4340044783928725,0.6270919264151359,,0.12
amazon,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.5604700854700855,0.6417306370287595,0.6370431893687708,,0.02
amazon,1,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.5604700854700855,0.6417306370287595,0.6370431893687708,,0.03
amazon,2,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.7179717291255754,0.6373282179935608,0.8352363258193753,,0.03
pheme,1,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.8713663753462755,0.0,0.26831899756477634,,4.95
pheme,2,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.869023695586173,0.0,0.2527802641132884,,4.45
fakeddit,1,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 0.5}",1.5,0.15,0.85,0.5,8,default,0.3164445476676886,0.3724990714485965,0.31271217093799875,,3.66
crisismmd,1,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.5}",1.5,0.15,0.85,1.5,8,default,0.4524535295128871,0.41880126486544444,0.3622983156258696,,1.09
crisismmd,2,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.5}",1.5,0.15,0.85,1.5,8,default,0.41548506942066427,0.3115835632817794,0.3502337751540189,,1.16
crisismmd,0,A,sd,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.5}",1.5,0.15,0.85,1.5,8,default,0.3033359187168477,0.16656912365592214,0.2468715052611106,,1.28
