rate,blend,method,seed,threshold,precision,recall,f1
0.1,0.7,nfmcd_default,1,0.2,0.7142857142857143,0.2631578947368421,0.3846153846153846
0.1,0.7,nfmcd_default,1,0.25,1.0,0.15789473684210525,0.2727272727272727
0.1,0.7,nfmcd_default,1,0.3,1.0,0.10526315789473684,0.1904761904761905
0.1,0.7,nfmcd_default,1,0.4,0.0,0.0,0.0
0.1,0.7,nfmcd_default,1,0.5,0.0,0.0,0.0
0.1,0.7,nfmcd_robust,1,0.05,0.1917808219178082,0.7368421052631579,0.30434782608695654
0.1,0.7,nfmcd_robust,1,0.1,0.34782608695652173,0.42105263157894735,0.380952380952381
0.1,0.7,nfmcd_robust,1,0.15,0.625,0.2631578947368421,0.37037037037037035
0.1,0.7,nfmcd_robust,1,0.2,1.0,0.15789473684210525,0.2727272727272727
0.1,0.7,nfmcd_robust,1,0.25,1.0,0.15789473684210525,0.2727272727272727
0.1,0.7,nfmcd_robust,1,0.3,1.0,0.10526315789473684,0.1904761904761905
0.1,0.7,nfmcd_robust,1,0.4,0.0,0.0,0.0
0.1,0.7,nfmcd_robust,1,0.5,0.0,0.0,0.0
0.1,0.7,nfmcd_default,3,0.05,0.11737089201877934,0.9615384615384616,0.2092050209205021
0.1,0.7,nfmcd_default,3,0.1,0.25301204819277107,0.8076923076923077,0.38532110091743116
0.1,0.7,nfmcd_default,3,0.15,0.4827586206896552,0.5384615384615384,0.509090909090909
0.1,0.7,nfmcd_default,3,0.2,0.9090909090909091,0.38461538461538464,0.5405405405405405
0.1,0.7,nfmcd_default,3,0.25,0.8333333333333334,0.19230769230769232,0.3125
0.1,0.7,nfmcd_default,3,0.3,0.5,0.038461538461538464,0.07142857142857144
0.1,0.7,nfmcd_default,3,0.4,0.0,0.0,0.0
0.1,0.7,nfmcd_default,3,0.5,0.0,0.0,0.0
0.1,0.7,nfmcd_robust,3,0.05,0.31746031746031744,0.7692307692307693,0.44943820224719094
0.1,0.7,nfmcd_robust,3,0.1,0.5769230769230769,0.5769230769230769,0.5769230769230769
0.1,0.7,nfmcd_robust,3,0.15,0.6923076923076923,0.34615384615384615,0.46153846153846156
0.1,0.7,nfmcd_robust,3,0.2,1.0,0.19230769230769232,0.32258064516129037
0.1,0.7,nfmcd_robust,3,0.25,1.0,0.07692307692307693,0.14285714285714288
0.1,0.7,nfmcd_robust,3,0.3,1.0,0.07692307692307693,0.14285714285714288
0.1,0.7,nfmcd_robust,3,0.4,0.0,0.0,0.0
0.1,0.7,nfmcd_robust,3,0.5,0.0,0.0,0.0
0.1,0.7,nfmcd_default,4,0.05,0.125,0.8846153846153846,0.21904761904761905
0.1,0.7,nfmcd_default,4,0.1,0.2711864406779661,0.6153846153846154,0.3764705882352941
0.1,0.7,nfmcd_default,4,0.15,0.6086956521739131,0.5384615384615384,0.5714285714285715
0.1,0.7,nfmcd_default,4,0.2,0.8181818181818182,0.34615384615384615,0.4864864864864865
0.1,0.7,nfmcd_default,4,0.25,0.8,0.15384615384615385,0.25806451612903225
0.1,0.7,nfmcd_default,4,0.3,1.0,0.11538461538461539,0.20689655172413793
0.1,0.7,nfmcd_default,4,0.4,0.0,0.0,0.0
0.1,0.7,nfmcd_default,4,0.5,0.0,0.0,0.0
0.1,0.7,nfmcd_robust,4,0.05,0.22950819672131148,0.5384615384615384,0.3218390804597701
0.1,0.7,nfmcd_robust,4,0.1,0.5,0.4230769230769231,0.4583333333333333
0.1,0.7,nfmcd_robust,4,0.15,0.7272727272727273,0.3076923076923077,0.43243243243243246
0.1,0.7,nfmcd_robust,4,0.2,0.875,0.2692307692307692,0.411764705882353
0.1,0.7,nfmcd_robust,4,0.25,1.0,0.15384615384615385,0.2666666666666667
0.1,0.7,nfmcd_robust,4,0.3,1.0,0.11538461538461539,0.20689655172413793
0.1,0.7,nfmcd_robust,4,0.4,0.0,0.0,0.0
0.1,0.7,nfmcd_robust,4,0.5,0.0,0.0,0.0
0.1,1.0,nfmcd_default,1,0.05,0.08837209302325581,1.0,0.16239316239316237
0.1,1.0,nfmcd_default,1,0.1,0.22666666666666666,0.8947368421052632,0.36170212765957444
0.1,1.0,nfmcd_default,1,0.15,0.5151515151515151,0.8947368421052632,0.6538461538461537
0.1,1.0,nfmcd_default,1,0.2,0.7777777777777778,0.7368421052631579,0.7567567567567567
0.1,1.0,nfmcd_default,1,0.25,0.8461538461538461,0.5789473684210527,0.6875
0.1,1.0,nfmcd_default,1,0.3,0.8333333333333334,0.2631578947368421,0.39999999999999997
0.1,1.0,nfmcd_default,1,0.4,0.0,0.0,0.0
0.1,1.0,nfmcd_default,1,0.5,0.0,0.0,0.0
0.1,1.0,nfmcd_robust,1,0.05,0.2361111111111111,0.8947368421052632,0.3736263736263737
0.1,1.0,nfmcd_robust,1,0.1,0.4411764705882353,0.7894736842105263,0.5660377358490566
0.1,1.0,nfmcd_robust,1,0.15,0.7,0.7368421052631579,0.717948717948718
0.1,1.0,nfmcd_robust,1,0.2,0.9090909090909091,0.5263157894736842,0.6666666666666666
0.1,1.0,nfmcd_robust,1,0.25,0.8888888888888888,0.42105263157894735,0.5714285714285714
0.1,1.0,nfmcd_robust,1,0.3,0.875,0.3684210526315789,0.5185185185185185
0.1,1.0,nfmcd_robust,1,0.4,0.0,0.0,0.0
