diagnostic,dataset,seed,variant,metric,value
d5_cca,fakeddit,0,"cd=2,div=16",conf_mean,0.511291
d5_cca,fakeddit,0,"cd=2,div=16",agr_n,1143.000000
d5_cca,fakeddit,0,"cd=2,div=16",agr_mean,0.630637
d5_cca,fakeddit,0,"cd=2,div=16",agr_sd,0.516496
d5_cca,fakeddit,0,"cd=2,div=16",agr_q05,-0.754418
d5_cca,fakeddit,0,"cd=2,div=16",agr_q25,0.503985
d5_cca,fakeddit,0,"cd=2,div=16",agr_q50,0.868240
d5_cca,fakeddit,0,"cd=2,div=16",agr_q75,0.970484
d5_cca,fakeddit,0,"cd=2,div=16",agr_q95,0.998712
d5_cca,fakeddit,0,"cd=2,div=8",onmi,0.431161
d5_cca,fakeddit,0,"cd=2,div=8",alpha_mean,0.536218
d5_cca,fakeddit,0,"cd=2,div=8",conf_mean,0.551739
d5_cca,fakeddit,0,"cd=2,div=8",agr_n,1143.000000
d5_cca,fakeddit,0,"cd=2,div=8",agr_mean,0.699301
d5_cca,fakeddit,0,"cd=2,div=8",agr_sd,0.477735
d5_cca,fakeddit,0,"cd=2,div=8",agr_q05,-0.619437
d5_cca,fakeddit,0,"cd=2,div=8",agr_q25,0.655534
d5_cca,fakeddit,0,"cd=2,div=8",agr_q50,0.914265
d5_cca,fakeddit,0,"cd=2,div=8",agr_q75,0.983443
d5_cca,fakeddit,0,"cd=2,div=8",agr_q95,0.999337
d5_cca,fakeddit,0,"cd=2,div=4",onmi,0.225151
d5_cca,fakeddit,0,"cd=2,div=4",alpha_mean,0.578212
d5_cca,fakeddit,0,"cd=2,div=4",conf_mean,0.611731
d5_cca,fakeddit,0,"cd=2,div=4",agr_n,1143.000000
d5_cca,fakeddit,0,"cd=2,div=4",agr_mean,0.812143
d5_cca,fakeddit,0,"cd=2,div=4",agr_sd,0.360196
d5_cca,fakeddit,0,"cd=2,div=4",agr_q05,0.012876
d5_cca,fakeddit,0,"cd=2,div=4",agr_q25,0.829022
d5_cca,fakeddit,0,"cd=2,div=4",agr_q50,0.953636
d5_cca,fakeddit,0,"cd=2,div=4",agr_q75,0.989723
d5_cca,fakeddit,0,"cd=2,div=4",agr_q95,0.999705
d5_cca,fakeddit,0,"cd=4,div=16",onmi,0.638510
d5_cca,fakeddit,0,"cd=4,div=16",alpha_mean,0.464842
d5_cca,fakeddit,0,"cd=4,div=16",conf_mean,0.449775
d5_cca,fakeddit,0,"cd=4,div=16",agr_n,1143.000000
d5_cca,fakeddit,0,"cd=4,div=16",agr_mean,0.601173
