method,dataset,seed,k_used,modularity,onmi,f1,note,error,secs
base:louvain,fakeddit@r1.0,1,8,0.19864113854948054,0.0,0.1495860730385643,homophily=0.178 edges=12585,,0.33
base:louvain,fakeddit@r1.0,2,7,0.1987246869496772,0.0,0.15822644834088262,homophily=0.173 edges=12631,,0.34
base:spectral_graph+content,fakeddit_real_full,0,9,0.6292848267937482,0.24965413182044371,0.2976106126086402,homophily=0.887 edges=13108,,0.38
base:spectral_graph+content,fakeddit_real_lcc,1,6,0.6186289805504904,0.5227766958073978,0.6185039315384402,homophily=0.907 edges=9261,,0.09
base:spectral_graph+content,fakeddit_real_lcc,0,6,0.6186289805504904,0.5227766958073978,0.6185039315384402,homophily=0.907 edges=9261,,0.17
base:spectral_graph+content,fakeddit_real_full,1,9,0.6292848267937482,0.24965413182044371,0.2976106126086402,homophily=0.887 edges=13108,,0.39
base:spectral_graph+content,fakeddit_real_lcc,2,6,0.6186289805504904,0.5227766958073978,0.6185039315384402,homophily=0.907 edges=9261,,0.09
base:spectral_graph+content,fakeddit_real_full,2,9,0.6292848267937482,0.24965413182044371,0.2976106126086402,homophily=0.887 edges=13108,,0.38
base:spectral_graph+content,crisismmd@r0.02,0,7,0.6442911878262001,0.9062700324361181,0.9654458066904017,homophily=0.927 edges=4884,,0.16
base:spectral_graph+content,crisismmd@r0.02,1,7,0.6411693304512138,0.8915976135737177,0.9564968810171138,homophily=0.922 edges=4926,,0.12
base:spectral_graph+content,crisismmd@r0.1,0,7,0.4572958657720974,0.8675302499664546,0.954510105908116,homophily=0.724 edges=4908,,0.14
base:spectral_graph+content,crisismmd@r0.02,2,7,0.6410568513119533,0.9048169919812163,0.9680350213632062,homophily=0.928 edges=4900,,0.17
base:spectral_graph+content,crisismmd@r0.1,1,7,0.4529792117191877,0.8538458898509859,0.945628381255194,homophily=0.715 edges=4924,,0.14
base:spectral_graph+content,crisismmd@r0.1,2,7,0.44534131040403835,0.8453143716242535,0.9419138221023301,homophily=0.717 edges=4921,,0.14
base:spectral_graph+content,crisismmd@r0.25,1,7,0.252373525747283,0.7867658407768826,0.9234846479437915,homophily=0.500 edges=4979,,0.14
base:spectral_graph+content,crisismmd@r0.25,0,7,0.22652009972149018,0.6352927932435034,0.7866824536778297,homophily=0.506 edges=4943,,0.16
base:spectral_graph+content,crisismmd@r0.25,2,7,0.24789260609814465,0.7587922314891993,0.8939407284009775,homophily=0.503 edges=4946,,0.16
base:spectral_graph+content,crisismmd@r0.5,0,7,0.10400973239133447,0.5737823180153394,0.7522743331064871,homophily=0.334 edges=4898,,0.14
base:spectral_graph+content,crisismmd@r0.5,1,7,0.09790437447568263,0.5425287590952939,0.7361953844187046,homophily=0.330 edges=4908,,0.14
base:spectral_graph+content,crisismmd@r0.5,2,7,0.10311899784321374,0.5730837857857914,0.7495800500699735,homophily=0.337 edges=4959,,0.14
base:spectral_graph+content,crisismmd@r1.0,0,7,0.03341496474944068,0.5149394188775278,0.7150912177674738,homophily=0.198 edges=4881,,0.12
base:spectral_graph+content,crisismmd@r1.0,1,7,0.024271605580247966,0.5126339450724022,0.7120875623677112,homophily=0.201 edges=4973,,0.12
base:spectral_graph+content,crisismmd@r1.0,2,7,0.03481092752858502,0.5254201908799061,0.7212905038362206,homophily=0.205 edges=4982,,0.12
base:spectral_graph+content,fakeddit@r0.02,0,10,0.4631576532419865,0.7098674228440214,0.840437480610898,homophily=0.916 edges=12551,,0.28
base:spectral_graph+content,fakeddit@r0.02,1,10,0.470920615908303,0.697042236926537,0.8163414510328881,homophily=0.915 edges=12522,,0.3
base:spectral_graph+content,fakeddit@r0.02,2,10,0.4751768653687355,0.7422167550807666,0.8423698922486833,homophily=0.913 edges=12513,,0.33
base:spectral_graph+content,fakeddit@r0.1,0,10,0.29149704654751474,0.5485186436598007,0.6989487958802828,homophily=0.684 edges=12623,,0.41
base:spectral_graph+content,fakeddit@r0.1,2,10,0.2933225496931202,0.5279695425917831,0.6961720921555745,homophily=0.679 edges=12516,,0.34
base:spectral_graph+content,fakeddit@r0.1,1,10,0.3020808546511948,0.5397015336881973,0.7033719877541091,homophily=0.682 edges=12442,,0.42
base:spectral_graph+content,fakeddit@r0.25,0,10,0.15026800585029598,0.29706218701122056,0.505092291934884,homophily=0.467 edges=12589,,0.34
base:spectral_graph+content,fakeddit@r0.25,1,10,0.14559016393013763,0.31981012987381785,0.5335418754256771,homophily=0.461 edges=12519,,0.34
base:spectral_graph+content,fakeddit@r0.25,2,10,0.15116109442789688,0.2986240644866036,0.5047485489260474,homophily=0.460 edges=12618,,0.39
base:spectral_graph+content,fakeddit@r0.5,1,10,0.0683592452740313,0.09679329696798766,0.3245361304473218,homophily=0.301 edges=12578,,0.36
base:spectral_graph+content,fakeddit@r0.5,0,10,0.05493369151356174,0.10342361763456143,0.31827839743734854,homophily=0.306 edges=12621,,0.42
base:spectral_graph+content,fakeddit@r0.5,2,10,0.058344303479386656,0.1049606672310468,0.30929796341522336,homophily=0.291 edges=12618,,0.34
base:spectral_graph+content,fakeddit@r1.0,1,10,0.037402199015703956,0.04720311750828554,0.2272569514706957,homophily=0.178 edges=12585,,0.34
base:spectral_graph+content,fakeddit@r1.0,0,10,0.04041422463701203,0.05597741125083999,0.28782469782034037,homophily=0.182 edges=12562,,0.44
base:spectral_graph+content,fakeddit@r1.0,2,10,0.044858506084795975,0.059066597392566034,0.2536840736098872,homophily=0.173 edges=12631,,0.48
base:kmeans_content,fakeddit_real_lcc,0,6,0.3670097485229628,0.24680504946879145,0.37684914024031957,homophily=0.907 edges=9261,,0.28
base:kmeans_content,fakeddit_real_full,1,9,0.28458296833824565,0.15714842472300994,0.34982855575028804,homophily=0.887 edges=13108,,0.66
base:kmeans_content,fakeddit_real_lcc,1,6,0.32670839806314667,0.25283335752573743,0.3550885832761748,homophily=0.907 edges=9261,,0.19
base:kmeans_content,fakeddit_real_full,0,9,0.2548045752202146,0.1563447108197875,0.35314716392543993,homophily=0.887 edges=13108,,0.97
base:kmeans_content,fakeddit_real_full,2,9,0.26634662724052355,0.12286513327155779,0.28689305293703626,homophily=0.887 edges=13108,,0.69
